,CQ ID,Coverage,exp.,CQ,"Bibl. 
data","Music 
data","Ling. 
data","User 
data","Main 
entities","Additional 
entities/props","Include
in indexes",Input,Path,Output,"Web 
page","Search 
interface",Visual.,"Viz. 
type","Results 
aggregation","Aggregation
type",Notes
Mark,Mark1-CQ5,full,B,Which tunes share their geographical origin?,yes,no,no,no,Music work: place of production,,yes,Music work,place of production,Place,no,yes,maybe,map,yes,by country,I'm assuming this will be done at a Collection level (possibly a collection compiled by the user themselves). You could do it over the whole Polifonia database too in theory
Mark,Mark2-CQ10,full,-,"Can we visualize change of a network over time, e.g. with a slider, and do this in a way such as to see the change without having to remember previous states?",yes,no,no,yes,,_vague,no,,,,,,,,,,I see this more as an additional feature of the network visualisation
Mark,Mark2-CQ6,full,-,"Can we see interconnections between organs, e.g. same builder",yes,no,no,no,"Instrument: builder, type",,yes,Instrument,builder > Agent > builder(inverse),Instrument,maybe,maybe,maybe,graph network,maybe,,
Mark,Mark2-CQ6,full,R,Which is the builder of an organ?,yes,no,no,no,Instrument: builder,,yes,Instrument,builder,Agent,yes,no,no,,no,,
Mark,Mark2-CQ7,full,A,Where has an organ been built?,yes,no,no,no,Instrument: place of production,,yes,Instrument,place of production,Place,yes,no,no,,no,,
Mark,Mark2-CQ7,full,C,When has an organ been built?,yes,no,no,no,Instrument: date,,yes,Instrument,date,Timespan,yes,no,no,,no,,
Mark,Mark2-CQ7,full,-,"Can we identify organs through a characteristic, e.g. oldest organ in the Netherlands with a keyboard to G3?",yes,no,no,no,Instrument: date,"Instrument: current place, chromatic range",no,Annotation,any,Instrument,no,yes,maybe,,maybe,,
Mark,Mark2-CQ7,full,B,Where is an organ located?,yes,no,no,no,,Instrument: current place,no,Instrument,current place,Place,yes,no,maybe,map,no,,
Mark,Mark2-CQ7,full,D,What is the chromatic range of an organ?,yes,no,no,no,,Instrument:  chromatic range,no,Instrument,chromatic range,Annotation,yes,no,no,,no,,
Mark,Mark2-CQ8,full,R,Which are the materials of an organ?,yes,no,no,no,Instrument: material,,yes,Instrument,material,Annotation,yes,no,no,,no,,
Mark,Mark2-CQ8,full,-,Can we ask technical questions about the construction of the organ and which materials were made?,yes,no,no,yes,Instrument: material,,no,Instrument,material,Annotation,yes,no,no,,no,,I though we were not including this CQ in the portal?
Mark,Mark2-CQ9,full,-,"Can we observe and understand trends in organs over time, e.g. how one tradition (German) influences or replaces another (Dutch) and why?",yes,no,no,yes,,_vague,no,,,,,,,,,,
Mark,Mark1-CQ1,partial,-,"Can we identify a tune (e.g. from an oral tradition) in our collection with music in another documented collection, e.g. RISM, NEUMA, ABC",yes,yes,no,no,,Collection: composition; Music feature: parent work,no,Collection,composition > Music work > has feature > Music feature > has feature (inverse),Music work,no,yes,no,,yes,by collection,
Mark,Mark1-CQ2,partial,-,"Can we compare music from different collections, e.g. from different countries to show connections/influences between musical styles?",yes,yes,no,no,Music work: place of production,Collection: composition; Music feature: parent work,no,Collection,composition > Music work > any > Music work > part of,Collection,no,maybe,maybe,graph network,yes,multiple,input is multiple collections - user should be able to select
Mark,Mark1-CQ2,partial,B,Which is the musical style of a composition?,yes,yes,no,no,Music work: genre,Music work: style,no,Music work,style,Annotation,yes,no,no,,no,,
Mark,Mark1-CQ3,partial,-,"Can we compare music longitudinally, e.g. to see evolution of tonality and transition from modal to tonal? Working either at manuscript or collection level.",yes,yes,no,no,Music work: date,Collection: composition; Music feature: parent work,no,Music work,has feature > Music feature,Music feature,maybe,maybe,yes,bar chart,yes,by frequency,"can also be at Collection level. I guess if at manuscript level, they would want to select multiple works?? I'm assuming here we would show some visualisation of the statistics of the musical features, but this needs much more clarification"
Mark,Mark1-CQ4,partial,-,"Can we visualize changes in musical form over time, e.g. transition from modal to tonal (evolution curves - see Weiss et al. 2018 ‘Investigating style evolution of Western classical music: A computational approach’) - with zooming",yes,yes,no,no,Music work: date,Music feature: parent work,no,Collection,composition > Music work > has feature,Music feature,maybe,maybe,yes,timeline,maybe,,I'm assuming this will be done at a Collection level (possibly a collection compiled by the user themselves)
Mark,Mark1-CQ5,partial,-,"Can we visualize interconnections, e.g. of tunes which share melodic patterns or geographical origin?",yes,yes,no,no,Music work: place of production,Music feature: parent work,no,Music work,place of production > Place > place of production (inverse),Music work,maybe,maybe,yes,graph network,maybe,multiple,
Ortenz,Ortenz1-CQ1,full,B,Which is the role of the creator of an official source?,yes,no,no,no,Source: creator; Performer: role,,yes,Source,created by > Agent > role,Annotation,maybe,yes,no,,no,,
Ortenz,Ortenz1-CQ10,full,-,When was the source produced?,yes,no,no,no,,Source:date,no,Source,date,Timespan,yes,maybe,no,,no,,
Ortenz,Ortenz1-CQ11,full,-,Where was the source produced?,yes,no,no,no,Source: place of production,,yes,Source,place of production,Place,yes,yes,maybe,map,no,,
Ortenz,Ortenz1-CQ12,full,-,Who produced the source?,yes,no,no,no,Source: creator,,yes,Source,created by,Agent,yes,yes,no,,no,,
Ortenz,Ortenz1-CQ13,full,-,"What type of source is it? E.g. Literary text, painting",yes,no,no,no,Source: type,,yes,Source,type,Type,yes,yes,no,,no,,
Ortenz,Ortenz1-CQ3,full,A,Which is the occupation of the creator of a source?,yes,no,no,no,Source: creator,Performer: occupation,no,Source,created by > Agent > role,Annotation,maybe,yes,no,,no,,
Ortenz,Ortenz2-CQ20,full,-,What places did musician Z visited in her career?,yes,no,no,no,"Musical performance: place, performer; Place: name",Performer: places,no,Agent,performer (inverse) > Musical performance > place of performance,Place,maybe,yes,maybe,map,maybe,by country,similar to Ortenz2-CQ21/22
Ortenz,Ortenz2-CQ21,full,-,Where did she perform?,yes,no,no,no,"Musical performance: place, performer",,yes,Agent,performer (inverse) > Musical performance > place of performance,Place,maybe,yes,maybe,map,maybe,by country,similar to Ortenz2-CQ20/22
Ortenz,Ortenz2-CQ22,full,-,Where did she live?,yes,no,no,no,,Performer: places,no,Agent,places,Place,maybe,yes,maybe,map,maybe,by country,similar to Ortenz2-CQ20/21
Ortenz,Ortenz2-CQ23,full,A,Did musician X and performer Y ever met?,yes,no,no,no,Musical performance: performer,,yes,Agent,performer (inverse) > Musical performance > performer,Agent,no,yes,maybe,graph network,maybe,by frequency,
Ortenz,Ortenz2-CQ23,full,B,Where did musician X and performer Y met?,yes,no,no,no,"Musical performance: place, performer",,yes,Agent,performer (inverse) > Musical performance > place of performance,Place,no,yes,maybe,map,no,,
Ortenz,Ortenz2-CQ23,full,C,When did musician X and performer Y meet?,yes,no,no,no,Musical performance: performer,Musical performance: date,no,Agent,performer (inverse) > Musical performance > date,Timespan,no,yes,maybe,timeline,maybe,by frequency,
Ortenz,Ortenz1-CQ1,partial,-,"What are the aspects that characterize an official source? E.g. context of production, creator’s role, relation between the source and political or national events",yes,no,yes,no,Source: creator; Performer: occupation,_vague,no,Source,any,Annotation,no,yes,maybe,,maybe,,
Ortenz,Ortenz1-CQ1,partial,A,Which is the context of production of an official source?,yes,no,yes,no,Source: creator; Performer: occupation,_vague,no,Source,any,Annotation,no,yes,maybe,map,no,,
Ortenz,Ortenz1-CQ1,partial,C,Which is the relation between the source and political/national events?,yes,no,yes,no,Source: date,_vague,no,Source,any,Annotation,maybe,yes,maybe,timeline,no,,
Ortenz,Ortenz1-CQ14,partial,-,"What is the context of production of the source? E.g. academic, official source, personal or primary source, commission to an artist",yes,no,yes,no,"Source: creator, type",,no,Source,any,Annotation,maybe,yes,no,,no,,how is this different from Ortenz-CQ1A?
Ortenz,Ortenz1-CQ15,partial,-,"Are there related events connected to the production of the source? E.g. national fests, war period, political or historical events",yes,no,yes,no,Source: place of production,Source: date,no,Source,related to,Event,maybe,yes,maybe,graph network,no,,
Ortenz,Ortenz1-CQ16,partial,-,"What is context of usage of the source? E.g. propaganda, personal account, review of an event, teaching",yes,no,yes,no,"Source: creator, type",Source: audience,no,Source,audience,Annotation,maybe,yes,no,,no,,
Ortenz,Ortenz1-CQ17,partial,-,How subjects/goals/contexts of usage change over time?,yes,no,yes,no,,"Source:hasSubject, date",no,Source,any,Annotation,maybe,yes,yes,timeline,yes,by timespan,
Ortenz,Ortenz1-CQ19,partial,-,To what extent are music subjects relevant (among the others) in official sources targeted to children?,yes,no,yes,no,"Source: place of production, type; Performer: role","Source:hasSubject, date",no,Source,subject,Annotation,maybe,yes,no,,maybe,by frequency,
Ortenz,Ortenz1-CQ2,partial,-,What are the official sources?,yes,no,yes,no,Source: creator; Performer: occupation,_vague,no,Source,created by > Agent > role,Annotation,maybe,yes,no,,maybe,by timespan,not sure what 'official' means here; results aggregation could be by a variety of dimensions
Ortenz,Ortenz1-CQ2,partial,A,What are the sources produced by ordinary people?,yes,no,yes,no,Source: creator; Performer: occupation,_vague,no,Source,created by > Agent > role,Annotation,maybe,yes,no,,no,,
Ortenz,Ortenz1-CQ3,partial,-,"What are the aspects that characterize the source at hand as trustworthy? E.g. context of production, creator’s occupation",yes,no,yes,no,Source: creator; Performer: occupation,_vague,no,Source,any,Annotation,maybe,yes,no,,no,,"do we need this - is it not covered by individual items, e.g. creator > creator's role"
Ortenz,Ortenz1-CQ3,partial,B,Which is the context of production of a source?,yes,no,yes,no,"Source: creator, place of production; Performer: occupation",_vague,no,Source,place of production > Place; date > Timespan ; created by > Agent > role > Annotation,property value,maybe,yes,no,,no,,this is a repeat of Ortenz1-CQ14; I have completed it in the same way
Ortenz,Ortenz1-CQ6,partial,-,In which source there is evidence of children as target audience and music as subject?,yes,no,yes,no,,"Source:hasSubject, audience",no,Agent,audience (inverse),Source,maybe,yes,no,,no,,
Ortenz,Ortenz1-CQ7,partial,-,What are the subjects of the source?,yes,no,yes,no,,Source:hasSubject,no,Source,subject,Annotation,yes,yes,no,,no,,
Ortenz,Ortenz1-CQ8,partial,-,What are the subjects that are related to national identity?,yes,no,yes,no,,Source:hasSubject,no,Source,subject > Annotation > relates to,Annotation,maybe,yes,no,,maybe,by frequency,very similar to Ortenz1-CQ9
Ortenz,Ortenz1-CQ9,partial,-,What are the subjects that are related to national heritage?,yes,no,yes,no,,Source:hasSubject,no,Source,subject > Annotation > relates to,Annotation,maybe,yes,no,,maybe,by frequency,very similar to Ortenz1-CQ8
Ortenz,Ortenz2-CQ23,partial,-,"Did musician X and performer Y ever met? Where, when, and why?",yes,no,yes,no,"Musical performance: place, performer, date",,no,Agent,performer (inverse) > Musical performance > performer,Agent,no,yes,maybe,graph network,maybe,by timespan,
Ortenz,Ortenz2-CQ23,partial,D,Why did musician X and performer Y met?,yes,no,yes,no,"Musical performance: place, performer, date",,no,Agent,performer (inverse) > Musical performance > type,Type,no,yes,maybe,graph network,maybe,by performance,
Ortenz,Ortenz2-CQ24,partial,-,In what context the meeting happened?,yes,no,yes,no,"Musical performance: place, performer, date",,no,Agent,performer (inverse),Musical performance,no,yes,maybe,graph network,maybe,by performance,what does this add over Ortenz2-CQ23?
Ortenz,Ortenz2-CQ25,partial,-,What is the nature of the event?,yes,no,yes,no,"Musical performance: place, performer, date",Musical performance: type,no,Musical performance,type,Type,yes,yes,no,,,,
Ortenz,Ortenz2-CQ26,partial,-,"Was it a celebration, a festival, a private event?",yes,no,yes,no,"Musical performance: place, performer, date",Musical performance: type,no,Musical performance,type,Type,yes,yes,no,,,,
Ortenz,Ortenz2-CQ26,partial,A,Which is the type of the event?,yes,no,yes,no,"Musical performance: place, performer, date",Musical performance: type,no,Musical performance,type,Type,yes,yes,no,,,,
Ortenz,Ortenz2-CQ27,partial,-,Was it a religious or a secular event?,yes,no,yes,no,"Musical performance: place, performer, date",Musical performance: type,no,Musical performance,type,Type,yes,yes,no,,,,"I think CQ25, 26 and 27 could be combined; I have answered them all in the same way"
Ortenz,Ortenz2-CQ28,partial,-,Who paid to support the event?,yes,no,yes,no,,Musical performance: commissioner,no,Musical performance,commissioner,Agent,maybe,yes,no,,no,,
Ortenz,Ortenz2-CQ29,partial,-,What is the provenance of the event attendees? What and how they happened to be there?,yes,no,yes,no,,Musical performance: audience,no,Musical performance,audience,Annotation,maybe,yes,no,,maybe,,this is a generalization of CQ6
Ortenz,Ortenz2-CQ30,partial,-,Did they travel to reach the place?,yes,no,yes,no,,_vague,no,Musical performance,audience,Annotation,no,yes,maybe,map,maybe,by country,specialization of CQ29
Ortenz,Ortenz2-CQ31,partial,-,Where they invited? Was the meeting accidental?,yes,no,yes,no,,_vague,no,Musical performance,audience,Annotation,no,yes,no,,no,,
Ortenz,Ortenz2-CQ32,partial,-,How can we characterize the relation among the participants?,yes,no,yes,no,,_vague,no,Agent,audience,Annotation,no,yes,maybe,graph network,no,,
Ortenz,Ortenz2-CQ33,partial,-,Was there a power relation? (e.g. Patron / Musician),yes,no,yes,no,,_vague,no,Agent,any,Agent,no,yes,maybe,graph network,no,,specialization of CQ32
Patrizia,Patrizia1-CQ1,full,-,Where is the Bell Tower?,yes,no,no,no,,Instrument: current place,no,Instrument,current place,Place,yes,yes,yes,map,no,,
Patrizia,Patrizia1-CQ2,partial,-,What kind of execution characterizes that bell tower?,yes,no,yes,no,,_vague,no,Instrument,hasInstrumentOrVoice (inverse) > Musical performance > type,Type,yes,yes,no,,yes,by count ,
Patrizia,Patrizia1-CQ3,partial,-,Are there formalized collective actors who carry out sound practices?,yes,no,yes,no,"Musical performance: place, performer",,yes,Instrument,hasInstrumentOrVoice (inverse) > Musical performance > performer,Agent,yes,no,no,,yes,by frequency,
Patrizia,Patrizia1-CQ5,partial,-,Which age groups do the transmission practices involve?,yes,no,yes,no,,Musical performance: audience,no,Instrument,hasInstrumentOrVoice (inverse) > Musical performance > performer,Agent,maybe,no,yes,bar chart,yes,by frequency,
Patrizia,Patrizia1-CQ6,partial,-,Do transmission practices involve both men and women?,yes,no,yes,no,,Musical performance: audience,no,Instrument,hasInstrumentOrVoice (inverse) > Musical performance > performer,Agent,maybe,no,yes,bar chart,yes,by frequency,
Patrizia,Patrizia1-CQ7,partial,-,Do transmission practices include the organization of public events?,yes,no,yes,no,,Musical performance: audience,no,Instrument,hasInstrumentOrVoice (inverse) > Musical performance > performer,Agent,maybe,no,yes,bar chart,yes,by frequency,
Patrizia,Patrizia1-CQ8,partial,Added,Which is the type of the transmission practice?,yes,no,yes,no,,_vague,no,,,,,,,,,,unclear
Sethus,Sethus1-CQ3.1,full,-,Where does the work appear within the cycle?,yes,no,no,no,,Collection: composition,no,Music work,part of,Collection,yes,no,no,,no,,
Sethus,Sethus1-CQ3.2,full,-,What do we know about this cycle and its place in Lassus' output,yes,no,no,no,,Collection: all,no,Collection,any,Annotation,yes,no,maybe,,maybe,,
Sethus,Sethus1-CQ3.2,full,R,What do we know about this cycle and its place in a composer output?,yes,no,no,no,,Collection: all,no,Collection,any,Annotation,yes,no,maybe,,maybe,,
Sethus,Sethus1-CQ3.3,partial,-,Which poetic text is set to music?,yes,no,yes,no,,Music work: text,no,Music work,text,Annotation,,,,,,,
Sethus,Sethus1-CQ3.4,partial,-,Has this poetic text been set to music before?,yes,no,yes,no,,Music work: text,no,Annotation,text (inverse),Music work,yes,yes,maybe,timeline,yes,by timespan,
Sethus,Sethus1-CQ4.1,partial,-,Is the modal ambiguity observed here frequent in Lasso’s output?,yes,yes,no,yes,Music work: composer,,no,Music feature,has feature (inverse),Music work,yes,no,yes,bar chart,yes,by frequency,
Sethus,Sethus1-CQ4.1,partial,R,Is the modal ambiguity observed frequent in a composer output?,yes,yes,no,yes,Music work: composer,,no,Music feature,has feature (inverse) > Music work > composer,Agent,yes,no,yes,bar chart,yes,by frequency,
Sethus,Sethus1-CQ4.3,partial,-,Is the ambiguity observed here specific to particular groups of works?,yes,yes,no,yes,,Collection: composition,no,Music feature,has feature (inverse),Music work,yes,no,yes,bar chart,yes,by frequency,
Sofia,Sofia1-CQ1.2,full,-,"What is the time relationship between different musicians, e.g. who was working at the same time?",yes,no,no,no,Musical performance: performer,Musical performance: date,no,Agent,any,Agent,yes,no,yes,graph network,yes,by timespan,
Sofia,Sofia1-CQ1.2,full,A,At what time was a musician working?,yes,no,no,no,Musical performance: performer,Musical performance: date,no,Agent,hasInstrumentOrVoice (inverse) > Musical performance > date,Timespan,yes,yes,yes,timeline,yes,by frequency,
Sofia,Sofia1-CQ1.3,full,-,"What relationships exist between institutions, e.g. employment of the same musicians; and between people and institutions, e.g. between a number of composers and a printer?",yes,no,no,no,,Performer: employer,no,Agent,any,Agent,yes,no,yes,graph network,yes,multiple,
Sofia,Sofia1-CQ1.3,full,A,Which is the employer of a musician?,yes,no,no,no,,Performer: employer,no,Agent,employer,Agent,yes,no,no,,yes,by count ,
Sonia,Sonia1-CQ1,full,-,What is the musical piece that the persona selects?,yes,no,no,yes,,,yes,Music work,title > Annotation; composer > Agent ; date > Timespan,property value,yes,no,no,,no,,
Sonia,Sonia1-CQ2,full,-,With which image/textual information/multimedia/musical piece is the selected musical piece connected to inside/outside the playlist?,yes,no,no,yes,"Music work: date, place of production, composer; Musical performance: performer, place of production",,yes,Music work,related to,Source,maybe,maybe,no,,no,,
Sonia,Sonia1-CQ5,full,-,Who is/are the composer(s)/musician(s) of the musical piece?,yes,no,no,no,"Music work: composer; Musical performance: performer, musical composition",,yes,Music work,composer,Agent,yes,no,no,,no,,
Sonia,Sonia1-CQ6,full,-,What information is available for the composer(s)/musician(s)?,yes,no,no,no,"Performer: role, medium of performance",,yes,Agent,any,Annotation,yes,yes,no,,no,,
Sonia,Sonia1-CQ7,full,-,When/Where was the musical piece recorded?,yes,no,no,no,"Musical performance: place, date",,yes,Music work,place of recording > Place; date > Timespan,property value,yes,maybe,no,,no,,
Sonia,Sonia1-CQ8,full,-,"Has another musical piece ""the user likes"" been recorded in the same venue?",yes,no,no,yes,"Musical performance: place, musical composition",,yes,Music work,place of recording > Place > place of recording (inverse),Music work,maybe,yes,no,,no,,
Sonia,Sonia1-CQ9,full,,"Are there excerpts of the lyrics available for a musical piece? If yes, which are they?",yes,no,no,no,,Musical work: lyrics,no,Music work,text,Annotation,yes,maybe,no,,no,,
Sonia,Sonia2-CQ2,full,-,Is a musical piece connected to another musical piece by historical event?,yes,no,no,no,,,no,Music work,any > Event > any,Music work,no,yes,maybe,,maybe,by frequency,
