,CQ ID,Coverage,exp.,CQ,"Bibl. 
data","Music 
data","Ling. 
data","User 
data","Main 
entities","Additional 
entities/props","Include
in indexes",Input,Path,Output,"Web 
page","Search 
interface",Visual.,"Viz. 
type","Results 
aggregation","Aggregation
type",Notes
Carolina,Carolina1-CQ1,full,-,Where was a musical composition performed?,yes,no,no,no,"Musical performance: musical composition, place",,yes,Music work,has performance > Musical performance > place of performance,Place,maybe,no,yes,map,yes,by country,
Carolina,Carolina1-CQ12,full,-,Which is the medium of performance of a musical composition?,yes,no,no,no,"Musical performance: musical composition, mediums of performance collection",,yes,Music work,medium of performance,Medium of performance,yes,no,no,,yes,by frequency,
Carolina,Carolina1-CQ13,full,-,Which was the first medium of performance of a musical composition?,yes,no,no,no,"Musical performance: musical composition, mediums of performance collection",,yes,Music work,has performance > Musical performance > medium of performance,Medium of performance,maybe,no,yes,timeline,yes,by performance,
Carolina,Carolina1-CQ14,full,-,Which instruments are involved in a musical composition?,yes,no,no,no,Musical performance: musical composition,Musical performance: hasPerformerSituation; PerformerSituation: hasInstrumentOrVoice,no,Music work,has performance > Musical performance > hasPerformerSituation > PerformerSituation > hasInstrumentOrVoice,Instrument,yes,no,no,,no,,
Carolina,Carolina1-CQ17,full,-,Which is/are the composer(s) of a musical composition?,yes,no,no,no,Music work: composer,,yes,Music work,composer,Agent,yes,yes,no,,no,,
Carolina,Carolina1-CQ2,full,-,In which buildings was a musical composition performed?,yes,no,no,no,"Musical performance: musical composition, place",Musical performance: building (subproperty of place),no,Music work,has performance > Musical performance > place of performance,Place,no,yes,yes,map,yes,by country,
Carolina,Carolina1-CQ22,full,-,When was a musical composition performed?,yes,no,no,no,Musical performance: musical composition,Musical performance: date,no,Music work,has performance > Musical performance > date,Timespan,no,yes,yes,timeline,no,,
Carolina,Carolina1-CQ3,full,-,Where was a musical composition performed for the first time?,yes,no,no,no,"Musical performance: musical composition, place",Musical performance: date,no,Music work,has performance > Musical performance > place of performance,Place,no,yes,yes,map,yes,by timespan,
Carolina,Carolina1-CQ4,full,-,In which buildings was a musical composition performed for the first time?,yes,no,no,no,"Musical performance: musical composition, place","Musical performance: date, building (subproperty of place)",no,Music work,has performance > Musical performance > place of performance,Place,no,yes,yes,map,yes,by timespan,
Carolina,Carolina1-CQ5,full,-,"Which performers (musicians, singers) have performed a musical composition?",yes,no,no,no,"Musical performance: musical composition, performer",,yes,Music work,has performance > Musical performance > performer,Agent,no,yes,no,,,,
Carolina,Carolina1-CQ6,full,-,"Which performers (musicians, singers) have performed a musical composition for the first time?",yes,no,no,no,"Musical performance: musical composition, performer",Musical performance: date,no,Music work,has performance > Musical performance > performer,Agent,no,yes,no,,yes,by timespan,
Carolina,Carolina1-CQ10,partial,-,In which historical documents is there evidence of reception of a musical composition?,yes,no,yes,no,Music work: source; Source: type,,no,Music work,is subject of,Source,maybe,no,no,,yes,by timespan,
Carolina,Carolina1-CQ11,partial,-,In which bibliographic references is there evidence of reception of a musical composition?,yes,no,yes,no,Music work: source; Source: type,,no,Music work,is subject of,Source,maybe,no,no,,yes,by timespan,seems a duplicate of CQ10
Carolina,Carolina1-CQ15,partial,-,Which voices are involved in a musical composition?,yes,yes,no,no,Musical performance: musical composition,Musical performance: hasPerformerSituation; PerformerSituation: hasInstrumentOrVoice,no,Music work,medium of performance,Medium of performance,yes,no,no,,,,
Carolina,Carolina1-CQ16,partial,-,In which tonality was written a musical composition for the first time?,yes,yes,no,no,Music work: date,Music feature: parent work,no,Music work,source > Source > subject > Music work > has feature,Music feature,yes,no,yes,timeline,yes,by timespan,
Carolina,Carolina1-CQ18,partial,-,Who has spoken about a musical composition?,yes,no,yes,no,Music work: source; Source: creator,,no,Music work,is subject of > Source > created by,Agent,no,yes,no,,yes,by agent,
Carolina,Carolina1-CQ19,partial,-,Who has spoken about a musical performance?,yes,no,yes,no,Source:creator,Musical performance: subject of,no,Musical performance,is subject of > Source > created by,Agent,no,yes,no,,yes,,
Carolina,Carolina1-CQ7,partial,-,In which scores is there evidence of a musical composition?,yes,yes,yes,no,Music work: source; Source: type,,no,Music work,is subject of,Source,yes,no,no,,yes,by agent,
Carolina,Carolina1-CQ8,partial,-,In which historical documents is there evidence of a musical composition?,yes,no,yes,no,Music work: source; Source: type,,no,Music work,is subject of,Source,yes,no,no,,yes,by agent,
Carolina,Carolina1-CQ9,partial,-,In which bibliographic references is there evidence of a musical composition?,yes,no,yes,no,Music work: source; Source: type,,no,Music work,is subject of,Source,yes,no,no,,yes,by agent,
David,David1-CQ1,full,-,What music was being played?,yes,no,no,no,Musical performance: musical composition,,yes,Source,subject,Music work,maybe,yes,no,,yes,by frequency,
David,David1-CQ12,full,A,Who is the composer of a piece of music?,yes,no,no,no,Musical performance: musical composition; Music work: composer,,yes,Music work,composer,Agent,yes,no,no,,no,,
David,David1-CQ14,full,-,What was the country of origin of a piece of music?,yes,no,no,no,Music work: place of production,,yes,Music work,place of production,Place,maybe,yes,no,,no,,
David,David1-CQ3,full,-,How did the instruments used change over time?,yes,no,no,no,,"Musical performance: hasPerformerSituation, date; PerformerSituation: hasInstrumentOrVoice",no,Musical performance,hasPerformerSituation > PerformerSituation > hasInstrumentOrVoice,Instrument,maybe,yes,yes,timeline,yes,by frequency,
David,David1-CQ5,full,-,Where were the musicians coming from?,yes,no,no,no,,Performer: birthplace,no,Musical performance,hasPerformerSituation > PerformerSituation > performer > Agent > birthplace,Place,maybe,yes,yes,map,yes,by frequency,
David,David1-CQ7,full,-,Where were the places (in which they played)?,yes,no,no,no,"Musical performance: place, performer",,yes,Agent,hasInstrumentOrVoice (inverse) > Musical performance > place of performance,Place,maybe,yes,yes,map,yes,by frequency,
David,David1-CQ10,partial,-,How does the world of brass bands connect with that of elite music?,yes,yes,yes,yes,,_vague,no,,,,,,,,,,This is a high level research aim not suitable as a CQ
David,David1-CQ15,partial,-,"What is the cause of a change, e.g. increasing number of concerts over time?",yes,yes,yes,no,,_vague,no,,,,,,,,,,But could be reformulated as a CQ such as what was the frequency of concerts over time
David,David1-CQ2,partial,-,Who was listening to the music?,yes,no,yes,no,Source: creator,is subject of > Source > audience,no,Musical performance,is subject of > Source > audience,Agent,maybe,yes,maybe,bar chart,yes,by frequency,
David,David1-CQ6,partial,-,Who were teaching the musicians?,yes,no,yes,no,,Musical performance: audience,no,Agent,hasInstrumentOrVoice (inverse) > Musical performance > audience,Annotation,no,yes,yes,bar chart,yes,by frequency,
Keith,Keith1-CQ1,partial,-,Can we find connection (relations) between different artists and music?,yes,yes,yes,no,"Music work: composer; Musical performance: performer, musical composition",_vague,yes,Music work,any,Music work,maybe,yes,yes,graph network,maybe,by frequency,
Keith,Keith1-CQ3,partial,-,"Can we visualize the relations between different media, different music etc?",yes,yes,yes,,"Music work: composer, place of production, date; Musical performance: performer, musical composition, place",,yes,Music work,any,Music work,maybe,yes,yes,graph network,maybe,by frequency,
Keoma,Keoma1-CQ1,full,-,Where is the Bell Tower?,yes,no,no,no,,Instrument: current place,no,Instrument,current place,Place,yes,,yes,map,no,,
Keoma,Keoma1-CQ2,full,R,What repertoire is traditionally performed in a specific location?,yes,no,no,no,"Musical performance: musical composition, place",,yes,Place,place of performance (inverse) > Musical performance > has performance (inverse) > Music work > part of,Collection,no,yes,no,,yes,by frequency,
Keoma,Keoma1-CQ2,full,-,What kind of repertoire is traditionally performed in that specific location?,yes,no,no,no,"Musical performance: musical composition, place",new property to describe 'kind' of repertoire,no,Place,place of performance (inverse) > Musical performance > has performance (inverse) > Music work > part of > Collection > type,Type,no,yes,no,,yes,by frequency,
Keoma,Keoma1-CQ3,full,-,What is the dating that accompanies a repertoire?,yes,no,no,no,"Musical performance: musical composition, place",Musical performance: date,no,Collection,composition > Music work > has performance > Musical performance > date,Timespan,yes,yes,yes,timeline,yes,by frequency,
Keoma,Keoma1-CQ4,full,-,Is it a repertoire performed in the contemporary world?,yes,no,no,no,"Musical performance: musical composition, place",Musical performance: date,no,Collection,composition > Music work > has performance > Musical performance > date,Timespan,yes,yes,yes,timeline,yes,by frequency,
Keoma,Keoma1-CQ4,full,R,"Is it a repertoire currently performed, or was it performed only in the past?",yes,no,no,no,Musical performance: musical composition,Musical performance: date,no,Collection,composition > Music work > has performance > Musical performance > date,Timespan,yes,yes,yes,timeline,yes,by frequency,
Keoma,Keoma1-CQ6,full,-,How many people are generally employed for the performance of these sound practices?,yes,no,no,no,"Musical performance: place, performer",,yes,Musical performance,hasInstrumentOrVoice,Agent,yes,no,no,,yes,by count ,
Keoma,Keoma1-CQ6,full,R,How many performers (or bell ringers?) are generally employed for the performance of these sound practices?,yes,no,no,no,"Musical performance: place, performer",,yes,Musical performance,hasInstrumentOrVoice,Agent,yes,no,yes,timeline,yes,by count ,
Keoma,Keoma1-CQ5,partial,-,Is it a repertoire in that place currently performed by hand or by electric means?,yes,yes,yes,no,"Musical performance: musical composition, place; Instrument: type",Musical performance: date; PerformerSituation:  hasInstrumentOrVoice,no,Place,place of performance (inverse) > Musical performance > hasInstrumentOrVoice ,Medium of performance,yes,no,no,,yes,by performance,
Keoma,Keoma1-CQ8,partial,-,Are there historical evidences of the presence of that sound in the surrounding area?,yes,no,yes,no,,_vague,no,Music work,is subject of,Source,yes,maybe,no,,yes,by timespan,
Mark,Mark1-CQ2,full,A,Which is the country of origin of a composition?,yes,no,no,no,Music work: place of production,,yes,Music work,place of production,Place,yes,no,no,,no,,
Mark,Mark1-CQ2,full,C,Which is the collection a composition is member of?,yes,no,no,no,,Collection: composition,no,Music work,part of,Collection,yes,no,no,,no,,
